Date,Open,High,Low,Close,Adj Close,Volume
1-2-1981,0.616071,0.620536,0.616071,0.616071,0.48682,5415200
1-5-1981,0.604911,0.604911,0.602679,0.602679,0.476237,8932000
1-6-1981,0.578125,0.578125,0.575893,0.575893,0.455071,11289600
1-7-1981,0.553571,0.553571,0.551339,0.551339,0.435669,13921600
1-8-1981,0.542411,0.542411,0.540179,0.540179,0.426849,9956800
1-9-1981,0.569196,0.571429,0.569196,0.569196,0.449779,5376000
1-12-1981,0.569196,0.569196,0.564732,0.564732,0.446252,5924800
1-13-1981,0.546875,0.546875,0.544643,0.544643,0.430377,5762400
1-14-1981,0.546875,0.549107,0.546875,0.546875,0.432141,3572800
1-15-1981,0.558036,0.5625,0.558036,0.558036,0.44096,3516800
1-16-1981,0.555804,0.555804,0.553571,0.553571,0.437432,3348800
1-19-1981,0.587054,0.589286,0.587054,0.587054,0.46389,10393600
1-20-1981,0.571429,0.571429,0.569196,0.569196,0.449779,7520800
1-21-1981,0.580357,0.584821,0.580357,0.580357,0.458599,3976000
1-22-1981,0.587054,0.591518,0.587054,0.587054,0.46389,8887200
1-23-1981,0.587054,0.589286,0.584821,0.584821,0.462126,2805600
1-26-1981,0.578125,0.578125,0.575893,0.575893,0.455071,6160000
1-27-1981,0.575893,0.575893,0.571429,0.571429,0.451543,5924800
1-28-1981,0.555804,0.555804,0.553571,0.553571,0.437432,7039200
1-29-1981,0.535714,0.535714,0.533482,0.533482,0.421558,10976000
1-30-1981,0.508929,0.508929,0.504464,0.504464,0.398628,11547200
2-2-1981,0.477679,0.477679,0.475446,0.475446,0.375698,5941600
2-3-1981,0.493304,0.495536,0.493304,0.493304,0.389809,4788000
2-4-1981,0.511161,0.513393,0.511161,0.511161,0.40392,6966400
2-5-1981,0.511161,0.515625,0.511161,0.511161,0.40392,1982400
2-6-1981,0.513393,0.515625,0.513393,0.513393,0.405683,3466400
2-9-1981,0.491071,0.491071,0.486607,0.486607,0.384517,4188800
2-10-1981,0.486607,0.488839,0.486607,0.486607,0.384517,4586400
